"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"fliC",-2.92376530942454,7.84048156404149,-18.8780518595228,4.75434551837427e-17,2.06576312773362e-13,27.8406496503695
"cheA",-1.78605391483672,7.1826983315005,-14.7709699110551,1.98829398522714e-14,4.31956868290597e-11,22.5287962535855
"tar",-1.31765375587554,7.62454189214214,-12.7771410811596,6.14154338441979e-13,8.89500200176799e-10,19.37476549445
"fliD",-1.48696478430523,5.70212055510467,-10.9938742949097,1.86857390720233e-11,2.02973840669853e-08,16.1614452055972
"ydcT",-1.1152367011098,7.7592324574719,-9.66035033467953,3.06976801714196e-10,1.80605533799024e-07,13.4856158836687
"cheY",-1.02910420606257,7.77379061948859,-9.65365132134293,3.11500147342711e-10,1.80605533799024e-07,13.471549388002
"flgK",-1.39859458472427,6.39775485696003,-9.62835281542714,3.29208953994713e-10,1.80605533799024e-07,13.4183706184946
"fliZ",-1.69487039152974,5.96236541033123,-9.43303028378846,5.05923775228126e-10,2.44248755929579e-07,13.0047348093291
"cheZ",-1.07318597826536,6.91114903090699,-8.94002757639823,1.53016566133381e-09,5.91994251159001e-07,11.9364962444209
"csgB",-1.30806320020947,5.89641715560804,-8.89604156469334,1.69160034152131e-09,5.91994251159001e-07,11.8394969746338
"motB",-1.08481633017443,6.08387919054388,-8.87591001049813,1.7712141001305e-09,5.91994251159001e-07,11.7950098043361
"ydcU",-1.09585245390066,5.92173725110066,-8.79442002845626,2.13480488213522e-09,6.62551943776966e-07,11.6143382427707
"fliA",-1.42284784793865,6.89506534057276,-8.48946174958501,4.32708843815137e-09,1.17507495398548e-06,10.9297844765409
"ydcV",-1.69162810367368,6.16871690177039,-8.27397839677958,7.18173179855417e-09,1.83556615674811e-06,10.4380875580575
"flgD",-1.4414402247588,7.89783132720036,-7.99531512787564,1.39545828560839e-08,3.04646104189461e-06,9.79250268055974
"csgE",-2.16193685471073,5.06404094153841,-7.79569918535603,2.25985732173569e-08,4.67575241092456e-06,9.32339411130926
"fbaB",-1.79808694047743,8.4477754108863,-7.66183314077623,3.13140000407886e-08,5.70912155980632e-06,9.00573807325977
"clsB",-1.09218377423004,6.35526675120693,-7.51112670406716,4.5332299648105e-08,7.87875367884065e-06,8.64522419945201
"csgA",-1.12260961174732,7.31542793621795,-7.49206566451592,4.75136024901854e-08,7.94025395460983e-06,8.59941111961107
"metT",1.57541735684589,9.59527628746402,7.32910591718107,7.11409982714714e-08,1.07844387197961e-05,8.20578705007866
"treA",-1.16520046791845,8.08526945086859,-7.32439802051496,7.1978992606234e-08,1.07844387197961e-05,8.19436381363795
"ycgR",-1.17393996935843,5.44940534850502,-7.21908952800159,9.36003354415849e-08,1.29499004096133e-05,7.9380988595515
"motA",-1.07436947667,5.97287781630232,-7.21327548511465,9.49713139649677e-08,1.29499004096133e-05,7.92390932178164
"metU",1.51638212401308,9.17256015104856,7.21158712750693,9.53732596335155e-08,1.29499004096133e-05,7.9197879754598
"patD",-1.50508870408547,6.71164171363975,-7.1815034583533,1.02833316702911e-07,1.33977183579257e-05,7.84629209949835
